index,day_of_week,mean,median,max,count
0,0,233.31989218823716,158.75369939333905,3111.9053514266634,1095
1,1,213.6590461052339,153.72195101665238,2928.9803170466585,1152
2,2,228.7915800851944,162.819289703315,5348.574165259986,1152
3,3,208.60786365272597,152.83425657998487,1959.8925177133278,1152
4,4,230.35435994095184,170.11062570668764,1670.4685129600184,1152
5,5,218.87386152276025,149.2737533566633,1758.0709409733317,1152
6,6,235.66107057764336,164.15227930333458,2239.596585940002,1008
