model,mae,rmse,mape,smape
seasonal_naive,1971.4718264975202,2574.2136838530687,6.558681947258248,6.902912861514686
naive,6071.473432682183,7494.592475615801,19.116820425940272,21.299933562626038
exponential_smoothing,365254.3389901422,422071.5984727475,1310.1972363709951,158.65613179435576
